ID;Year;Sources;Title;Analysis
1;2012;Engineering Village, IEEE, SCOPUS;(Requirement) evolution requirements for adaptive systems;OK (CA3)
40;2010;Engineering Village, SCOPUS, Springer, Web of Science;A goal-based framework for contextual requirements modeling and analysis;OK
42;2014;ACMDL;A goal-oriented requirements engineering approach for the ambient assisted living domain;OK
72;2014;Engineering Village, SCOPUS;A Requirements Monitoring Infrastructure for Very-Large-Scale Software Systems;OK
73;2012;ACMDL, Engineering Village, IEEE, SCOPUS, Web of Science;A requirements-based approach for the design of adaptive systems;OK (CA1)
76;2011;Engineering Village, SCOPUS;A Runtime evaluation methodology and framework for autonomic systems;OK
96;2014;SCOPUS;Achieving runtime adaptability through automated model evolution and variant selection;OK
101;2010;Engineering Village, IEEE, SCOPUS;Adaptive Goals for Self-Adaptive Service Compositions;OK
103;2011;Engineering Village, SCOPUS;Adaptive service composition based on runtime requirements monitoring;OK
105;2010;SCOPUS;Adaptive software needs continuous verification;OK
162;2011;Engineering Village, IEEE, SCOPUS, Web of Science;Are your sites down? Requirements-driven self-tuning for the survivability of Web systems;OK
179;2011;ACMDL, Engineering Village, SCOPUS, Web of Science;Automatic Derivation of Utility Functions for Monitoring Software Requirements;OK
181;2011;ACMDL;Automating analysis of qualitative preferences in goal-oriented requirements engineering;OK
183;2013;ACMDL, Engineering Village, IEEE, SCOPUS;Autonomy requirements engineering: a case study on the BepiColombo mission;OK
185;2011;SCOPUS;Awareness requirements for adaptive systems;OK
196;2013;Engineering Village, SCOPUS;Business process configuration with NFRs and context-awareness;OK
212;2011;ACMDL;Cloud adoption: a goal-oriented requirements engineering approach;OK
213;2014;ACMDL;Cloud adoption: prioritizing obstacles and obstacles resolution tactics using AHP;OK
217;2009;ACMDL;Collaborative social modeling for designing a patient wellness tracking system in a nurse-managed health care center;OK
223;2006;Engineering Village, SCOPUS, ScienceDirect, Web of Science;Comparing requirements analysis methods for developing reusable component libraries;OK
225;2011;Engineering Village, IEEE, SCOPUS;Compliance management with measurement frameworks;OK
236;2013;SCOPUS;Context-awareness for self-adaptive applications in ubiquitous computing environments;OK
238;2010;Engineering Village, IEEE, SCOPUS;Continuous adaptive requirements engineering: An architecture for self-adaptive service-based applications;OK
246;2014;Engineering Village, SCOPUS;Dealing with multiple failures in zanshin: A control-theoretic approach;OK
247;2011;Engineering Village, IEEE, SCOPUS;Dealing with softgoals at runtime: A fuzzy logic approach;OK (CA7)
262;2013;Engineering Village, SCOPUS;Designing an adaptive computer-aided ambulance dispatch system with Zanshin: An experience report;OK
264;2009;Engineering Village, SCOPUS, Web of Science;Designs Can Talk: A Case of Feedback for Design Evolution in Assistive Technology;OK
273;2011;Engineering Village, SCOPUS;Development of agent-driven systems: From i;OK
290;2007;Engineering Village, SCOPUS, Web of Science;Dynamic requirements specification for adaptable and open service-oriented systems;OK
293;2010;SCOPUS;Dynamically adaptive systems through automated model evolution using service compositions;OK
296;2005;Engineering Village, SCOPUS, ScienceDirect, Springer, Web of Science;Early Verification and Validation of Mission Critical Systems;OK
312;2009;SCOPUS;Emergency response workflow resource requirements modeling and analysis;OK
313;2011;Engineering Village, SCOPUS;Empirical evaluation of tropos4AS modelling;OK
314;2013;Engineering Village, IEEE, Web of Science;End-to-End Formal Specification, Validation, and Verification Process: A Case Study of Space Flight Software;OK
316;2011;Engineering Village, SCOPUS;Enforcing safety requirements for industrial automation systems at runtime position paper;OK
317;2010;IEEE;Engineering a Sound Assertion Semantics for the Verifying Compiler;OK
318;2013;ACMDL;Engineering adaptation with Zanshin: an experience report;OK
319;2009;Engineering Village, IEEE, SCOPUS, Web of Science;Engineering adaptive requirements;OK
323;1991;IEEE;Engineering service negotiation and management functionality for the advanced intelligent network: an application of object-oriented technology;OK
324;2014;IEEE;Engineering topology aware adaptive security: Preventing requirements violations at runtime;OK
325;2007;Engineering Village, SCOPUS;Enhancing residential gateways: OSGi service composition;OK
327;2011;SCOPUS, Web of Science;Enterprise Monitoring Ontology;OK
330;2005;ACMDL;Establishing trustworthiness in services of the critical infrastructure through certification and accreditation;OK
334;2001;Engineering Village, SCOPUS;Evaluating meta-programming mechanisms for ORB middleware;OK
336;2007;ACMDL;Evaluating User-centric Adaptation with Goal Models;OK
339;2011;IEEE;Evolution vs. innovation in requirements for services;OK
345;2012;Engineering Village;Experience with a tracing model for a Positive Train Control system of systems;OK
352;2001;ACMDL;Fast formal analysis of requirements via “Topoi Diagrams”;OK
357;2014;Engineering Village, SCOPUS;Feedback-aware requirements documents for smart devices;OK
360;2010;ACMDL;Finding solutions in goal models: an interactive backward reasoning approach;OK
362;2010;Engineering Village, IEEE, SCOPUS;First step towards a domain specific language for self-adaptive systems;OK
364;2004;IEEE;Fluent-based animation: exploiting the relation between goals and scenarios for requirements validation;OK
367;2000;ACMDL;Formal Tools for Managing Inconsistency and Change in RE;OK
371;2005;SCOPUS;Frameworks for model-driven software architecture;OK
372;2007;Engineering Village, SCOPUS, Web of Science;From a goal-oriented methodology to a BDI agent language: The case of Tropos and Alan;OK
375;2011;Engineering Village, IEEE, SCOPUS;From awareness requirements to adaptive systems: A control-theoretic approach;OK (CA2)
379;2013;Engineering Village, IEEE, SCOPUS, Web of Science;From GMoDS models to object-oriented specifications in Event-B;OK
387;2010;Engineering Village, IEEE, SCOPUS;Fuzzy Goals for Requirements-Driven Adaptation;OK (CA5)
392;2004;Engineering Village, IEEE, Web of Science;Goal and scenario driven product line development;OK
393;2012;ACMDL, Engineering Village, SCOPUS;Goal models as run-time entities in context-aware systems;OK
396;2008;Engineering Village, IEEE, SCOPUS, Web of Science;Goal-Based Modeling of Dynamically Adaptive System Requirements;OK
398;2011;Engineering Village, IEEE, SCOPUS;Goal-Driven Adaptation of Service-Based Systems from Runtime Monitoring Data;OK
399;2006;ACMDL, IEEE;Goal-Oriented Development of BDI Agents: The PRACTIONIST Approach;OK
400;2006;IEEE;Goal-Oriented Modeling of Requirements Engineering for Dynamically Adaptive System;OK
401;2004;IEEE;Goal-oriented requirements animation;OK
415;2012;Engineering Village, SCOPUS, Web of Science;How to Design and Deliver Process Context Sensitive Information: Concept and Prototype;OK
417;2014;IEEE;Identification of requirements for focused crawlers in technology intelligence;OK
422;2014;Engineering Village, SCOPUS, Web of Science;Implementation decision making for internetware driven by quality requirements;OK
428;2006;Engineering Village, SCOPUS;Improving exception handling by discovering change dependencies in adaptive process management systems;OK
443;1999;Engineering Village, SCOPUS;Integrative approach to requirements modeling;OK
