ID;Year;Sources;Title;Analysis
1;2012;Engineering Village, IEEE, SCOPUS;(Requirement) evolution requirements for adaptive systems;OK (CA3)
2;2011;ScienceDirect;17 - Inspection, Monitoring, Auditing, and Tracking;EC6
3;2010;Engineering Village, SCOPUS;2010 1st International Workshop on Requirements@Run.Time, RE@RunTime 2010;~IC1
4;2013;SCOPUS;2013 5th International Workshop on Modeling in Software Engineering, MiSE 2013 - Proceedings;~IC1
5;2013;SCOPUS;2013 IEEE Conference on Open Systems, ICOS 2013;~IC1
6;2014;Engineering Village, SCOPUS;2014 IEEE 1st International Workshop on Evolving Security and Privacy Requirements Engineering, ESPRE 2014 - Proceedings;~IC1
7;2002;SCOPUS;20th AIAA International Communication Satellite Systems Conference and Exhibit, ICSSC 2002;~IC1
8;2001;SCOPUS;2nd international workshop on living with inconsistency;~IC1
9;2014;Engineering Village, SCOPUS;33rd International Conference on Conceptual Modeling, ER 2014;~IC1
10;2008;ACMDL;3rd international workshop on advances and applications of problem frames;~IC1
11;2002;ACMDL;5SL: a language for declarative specification and generation of digital libraries;~IC1
12;2014;Engineering Village, SCOPUS;6th Workshop on Software Engineering for Resilient Systems, SERENE 2014;~IC1
13;2013;SCOPUS;7th International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE 2012;~IC1
14;2013;Engineering Village, SCOPUS;7th International Conference on Research Challenges in Information Science, RCIS 2013 - Conference Proceedings;~IC1
15;2014;Engineering Village, SCOPUS;9th International Conference on Dependability and Complex Systems, DepCoS-RELCOMEX 2014;~IC1
17;2011;Engineering Village, SCOPUS, Web of Science;A BDI agent programming language with failure handling, declarative goals, and planning;~IC1
18;2011;ACMDL;A case study on benefits and side-effects of agile practices in large-scale requirements engineering;~IC1
19;2007;Engineering Village, SCOPUS;A classification-based approach to policy refinement;~IC1
20;2006;Engineering Village, SCOPUS;A comparison of nearest neighbor search algorithms for generic object recognition;~IC1
21;2008;SCOPUS, ScienceDirect;A conceptual view on trajectories;~IC1
22;2007;Engineering Village, SCOPUS;A configurable event correlation architecture for adaptive J2EE applications;~IC1
23;2008;ACMDL;A context analysis method for constructing reliable embedded systems;~IC1
24;2006;Engineering Village;A context-aware system based on service-oriented architecture;~IC1
25;2005;Engineering Village, SCOPUS;A CORBA-based dynamic reconfigurable middleware;~IC1
26;2007;ACMDL;A data warehouse architecture for clinical data warehousing;~IC1
27;2004;Engineering Village, SCOPUS;A debugging strategy based on the requirements of testing;~IC1
28;2010;ACMDL;A deidealisation semantics for KAOS;~IC1
29;2007;ACMDL;A design framework for generating BDI-agents from goal models;~IC1
30;2007;Engineering Village, SCOPUS;A factory to design and buid tailorable and verifiable middleware;~IC1
31;2013;ACMDL;A few thoughts on engineering social machines: extended abstract;EC2
32;2006;Engineering Village, IEEE, SCOPUS, Web of Science;A Five-Step Method for Value-Based Planning and Monitoring of Systems Engineering Projects;~IC1
33;2012;Engineering Village, SCOPUS;A foundation for requirements analysis of privacy preserving software;~IC1
34;2008;Engineering Village, SCOPUS;A Framework for Requirements Engineering Process Development (FRERE);~IC1
35;2012;Engineering Village, SCOPUS;A framework for service-based business process collaboration;~IC1
36;2007;Engineering Village, SCOPUS;A framework for supporting dynamic systems co-evolution;~IC1
