Source;Year;Title
IEEE;2011;Reasoning about adaptive requirements for self-adaptive systems at runtime
IEEE;2010;Continuous adaptive requirements engineering: An architecture for self-adaptive service-based applications
IEEE;2013;Runtime goal models: Keynote
IEEE;2010;Run-time monitoring of system performance: A goal-oriented and system architecture simulation approach
IEEE;2011;Dealing with softgoals at runtime: A fuzzy logic approach
IEEE;2012;Stateful requirements monitoring for self-repairing socio-technical systems
IEEE;2010;Requirements reflection: requirements as runtime entities
IEEE;1998;Reconciling system requirements and runtime behavior
IEEE;2014;Taking goal models downstream: A systematic roadmap
IEEE;2005;Monitoring with behavior view diagrams for debugging
IEEE;2011;Run-time resolution of uncertainty
IEEE;2008;Secure Workflow Development from Early Requirements Analysis
IEEE;2013;From GMoDS models to object-oriented specifications in Event-B
IEEE;2007;Visualizing the Analysis of Dynamically Adaptive Systems Using i* and DSLs
IEEE;2011;Compliance management with measurement frameworks
IEEE;2011;An integrated approach to benefits realisation of railway condition monitoring innovations
IEEE;2009;Runtime monitoring of cross-cutting policy
IEEE;2011;Requirements models at run-time to support consistent system evolutions
IEEE;2011;Goal-Driven Adaptation of Service-Based Systems from Runtime Monitoring Data
IEEE;2011;Monitoring fuzzy temporal requirements for service compositions: Motivations, challenges and experimental results
IEEE;2003;Monitoring Web service requirements
IEEE;2009;Notice of Violation of IEEE Publication Principles<BR>The Explore of the Law Role in Software Requirements Engineering
IEEE;2007;Applying requirement monitoring for autonomic computing in a combat management system
IEEE;2007;Monitoring Requirements Evolution using Views
IEEE;2010;Requirements Engineering for Adaptive Service Based Applications
IEEE;2011;Monitoring Service Systems from a Language-Action Perspective
IEEE;2010;Developing Business Process Monitoring Strategy in a Supply Chain Using Information Requirements Analysis
IEEE;2014;Semiautomatic security requirements engineering and evolution using decision documentation, heuristics, and user monitoring
IEEE;2005;Support vector machines for quality monitoring in a plastic injection molding process
IEEE;1996;Requirements analysis from multiple perspectives: experiences with conceptual modeling technology
IEEE;2006;A Five-Step Method for Value-Based Planning and Monitoring of Systems Engineering Projects
IEEE;2010;Towards a continuous requirements engineering framework for self-adaptive systems
IEEE;2007;Addressing Legal Requirements in Requirements Engineering
IEEE;2013;Requirements models for design- and runtime: A position paper
IEEE;2009;Specifying and Monitoring Interactions and Commitments in Open Business Processes
IEEE;2007;"A unified requirements model, integrating features, use cases, requirements, requirements analysis and hazard analysis"
IEEE;2012;Run-time model evaluation for requirements model-driven self-adaptation
IEEE;2013;Autonomy requirements engineering
IEEE;2012;Applying SOFL to construct requirements specification for examination monitoring system
IEEE;2006;Fault monitoring and detection of distributed services over local and wide area networks
IEEE;2011;Foreword: 2nd Workshop requirements@run.time
IEEE;2012;Requirements-driven adaptive security: Protecting variable assets at runtime
IEEE;2011;Requirements Analysis for Run-Time Service Compositions
IEEE;2000;Supporting and monitoring the creativity of IS personnel during the requirements engineering process
IEEE;2005;Monitoring and control in scenario-based requirements analysis
IEEE;2011;Development of the adaptable, GIS-based, multi-threat detection system
IEEE;2012;Mitigating the obsolescence of quality specifications models in service-based systems
IEEE;2014;The observer-based technique for requirements validation in embedded real-time systems
IEEE;2008;Goal-Based Modeling of Dynamically Adaptive System Requirements
IEEE;2010;Requirements-Aware Systems: A Research Agenda for RE for Self-adaptive Systems
IEEE;2013;End-to-End Formal Specification, Validation, and Verification Process: A Case Study of Space Flight Software
IEEE;2008;Towards Seamless Adaptation: An Agent-Oriented Approach
IEEE;2010;Towards Self-Managed Systems Aware of Economic Value
IEEE;2009;Situ: A Situation-Theoretic Approach to Context-Aware Service Evolution
IEEE;2012;Service-Driven Migrating of Enterprise Information Systems: A Case Study
IEEE;2015;Analysis of Smart Mobile Applications for Healthcare under Dynamic Context Changes
IEEE;2001;Residual requirements and architectural residues
IEEE;2009;RELAX: Incorporating Uncertainty into the Specification of Self-Adaptive Systems
IEEE;2014;On requirements representation and reasoning using answer set programming
IEEE;1999;The process of inconsistency management: a framework for understanding
IEEE;2009;Reasoning on Non-Functional Requirements for Integrated Services
