Source;Year;Title;Keywords;Abstract
ACM;2010;Requirements Reflection: Requirements As Runtime Entities;reflection, requirements, runtime, self-adaptive systems;
ACM;2012;An Eclipse Modelling Framework Alternative to Meet the Models@Runtime Requirements;EMF, Model@Runtime, adaptation;
ACM;1998;Reconciling System Requirements and Runtime Behavior;Self-adapting systems, requirements monitoring, goal-driven requirements engineering,inconsistency management, obstacles, deviation analysis, system customization.;
ACM;2009;Monitoring Probabilistic Properties;performance, probabilistic properties, reliability, runtime monitoring, safety, security, web services;
ACM;2014;The Average Sensitivity of an Intersection of Half Spaces;learning theory, linear threshold function, noise sensitivity;
ACM;2013;Requirements Models for Design- and Runtime: A Position Paper;;
ACM;2006;Selective Code/Data Migration for Reducing Communication Energy in Embedded MpSoC Architectures;MPSoC, energy, migration;
ACM;2013;Exploiting Slicing and Patterns for RTSJ Immortal Memory Optimization;RTSJ, code slicing, design patterns, immortal memory, memory consumption, real-time Java, scoped memory;
ACM;2003;View Planning for BRDF Acquisition;;
ACM;2013;Accelerating Throughput-aware Runtime Mapping for Heterogeneous MPSoCs;Multiprocessor systems-on-chip, design-space exploration, embedded systems, energy consumption, multimedia applications, runtime mapping, synchronous data-flow graphs, throughput;
ACM;2015;Instruction-Cache Locking for Improving Embedded Systems Performance;Binary rewriting, cache locking, caches, embedded systems;
ACM;2014;NoC Contention Analysis Using a Branch-and-prune Algorithm;Many-core systems, network-on-chip, real-time systems, wormhole routing;
ACM;2011;Structuring Adaptive Replicated Systems with Design Patterns and Aspects;adaptive replication control, aspect oriented programming, design patterns;
ACM;1998;A Sequential Detailed Router for Huge Grid Graphs;Detailed Routing, Shortest Paths, Rip-up And Reroute;
ACM;2004;Kaleidoscope Configurations for Reflectance Measurement;BRDF, BTF, kaleidoscope, reflectance;
ACM;1998;Parametric Polymorphism for Java: A Reflective Solution;language design and implementation, persistence, reflection;
ACM;1998;Parametric Polymorphism for Java: A Reflective Solution;language design and implementation, persistence, reflection;
ACM;2006;Dynamic Allocation for Scratch-pad Memory Using Compile-time Decisions;Memory allocation, compiler, embedded systems, scratch pad, software caching, software-managed cache;
ACM;2003;Compiler-decided Dynamic Memory Allocation for Scratch-pad Based Embedded Systems;compiler, embedded systems, memory allocation, scratch-pad;
ACM;1997;Compiling Dynamic Mappings with Array Copies;;
ACM;1997;Compiling Dynamic Mappings with Array Copies;;
ACM;2008;Runtime Adaptation in a Service-oriented Component Model;adaptation, component replacement, migration, modularity, service-oriented architecture;
ACM;2015;Quantifying Timing-Based Information Flow in Cryptographic Hardware;;
ACM;2011;Bounded Decentralised Coordination over Multiple Objectives;coordination, distributed problem solving;
ACM;2010;Bridging Models and Systems at Runtime to Build Adaptive User Interfaces;adaptive user interfaces, executable models, model-based user interface development, model-driven engineering;
ACM;2007;Interactive Presentation: A Process Splitting Transformation for Kahn Process Networks;;
ACM;2008;Construction of Concrete Verification Models from C++;C++, dynamic memory allocation, equivalence checking, formal verification, pointers;
ACM;2006;Impact of Virtual Execution Environments on Processor Energy Consumption and Hardware Adaptation;energy efficiency, hardware adaptation, power dissipation;
ACM;1994;Correctness and Composition of Software Architectures;;
ACM;1994;Correctness and Composition of Software Architectures;;
ACM;2002;Towards a Synthesis of Dynamic Architecture Event Languages;acme, architecture change events, dynamic architectures, gauge infrastructure, probe infrastructure, software architectures, xADL, xArch;
ACM;2003;About the Requisites Analysis to the Interface Project: A Subjectivist Approach for the Information Systems;Intera&#231,,&#227,,o Humano-Computador, Semi&#243,,tica Organizacional, Sistemas de Informa&#231,,&#227,,o;
ACM;2005;The Application of Compile-time Reflection to Software Fault Tolerance Using Ada 95;Ada, atomic actions, backward error recovery, conversations, recovery blocks, reflection, software fault tolerance;
ACM;2011;Rigid Structures, Independent Units, Monitoring: Organizing Patterns in Frontline Firefighting;ethnography, firefighting, pattern research, safety-critical work, ubiquitous computing;
ACM;2003;A Propositional Policy Algebra for Access Control;Access control, policy algebra, policy composition, security policy;
ACM;2000;A Comparison of Three Programming Models for Adaptive Applications on the Origin2000;;
ACM;2005;Effective Adaptive Computing Environment Management via Dynamic Optimization;;
ACM;1999;Fast Simulation of Networks of Queues with Effective and Decoupling Bandwidths;asynchronous transfer mode, fast simulation, importance sampling, rare events;
ACM;2011;Task Scheduling for GPU Accelerated OLAP Systems;;
ACM;2006;Trunk Decomposition Based Global Routing Optimization;;
ACM;2010;Automatic Feedback-directed Object Fusing;Java, cache performance, garbage collection, just-in-time compilation, object colocation, object fusing, object inlining, optimization;
ACM;2011;The Capture Calculus Toolset;;
ACM;2015;Managing Requirements Knowledge in Business Networks: A Case Study;business networks, cross-organizational requirements engineering, knowledge maturing, knowledge organization systems, process development, requirements knowledge;
ACM;2015;Achieving Performance Isolation with Lightweight Co-Kernels;exascale, operating systems, virtualization;
ACM;2014;Personal Learning Environments (PLE) in the Teaching Ecosystem;informal learning, lifelong learning, personal learning environment (PLE), self regulated learning, teaching ecosystem;
ACM;1989;Computing, Research, and War: If Knowledge is Power, Where is Responsibility?;;
Engineering Village;2015;Rationalism with a dose of empiricism: Combining goal reasoning and case-based reasoning for self-adaptive software systems;;Requirements-driven approaches provide an effective mechanism for self-adaptive systems by reasoning over their runtime requirements models to make adaptation decisions. However, such approaches usually assume that the relations among alternative system configurations, environmental parameters and requirements are clearly understood, which is often not true. Moreover, they do not consider the influence of the current configuration of an executing system on adaptation decisions. In this paper, we propose an improved requirements-driven self-adaptation approach that combines goal reasoning and case-based reasoning. In the approach, past experiences of successful adaptations are retained as adaptation cases, which are described by not only requirements violations and contexts, but also currently deployed system configurations. The approach does not depend on a set of original adaptation cases, but employs goal reasoning to provide adaptation solutions when no similar cases are available. Case-based reasoning is used to provide more precise adaptation decisions that better reflect the complex relations among requirements violations, contexts, and current system configurations by utilizing past experiences. To prevent case-based reasoning from getting trapped in suboptimal adaptation solutions, an additional case mutation mechanism is introduced to mutate existing adaptation solutions when necessary. We conduct an experimental study with an online shopping benchmark to evaluate the effectiveness of our approach. The results show that our approach outperforms both a requirements-driven approach and a case-based approach in terms of satisfaction level of quality constraints. The results also confirm the effectiveness of case mutation for producing better adaptation solutions. In addition, we empirically investigate the evolution process of adaptation solutions. The evolution analysis reveals some general evolution trends of adaptation solutions such as different evolution phases. © Springer-Verlag London 2015.
Engineering Village;2009;Situ: A situation-theoretic approach to context-aware service evolution;;Evolvability is essential for computer systems to adapt to the dynamic and changing requirements in response to instant or delayed feedback from a service environment that nowadays is becoming more and more context aware,, however, current context-aware service-centric models largely lack the capability to continuously explore human intentions that often drive system evolution. To support service requirements analysis of real-world applications for services computing, this paper presents a situation-theoretic approach to human-intention-driven service evolution in context-aware service environments. In this study, we give situation a definition that is rich in semantics and useful for modeling and reasoning human intentions, whereas the definition of intention is based on the observations of situations. A novel computational framework is described that allows us to model and infer human intentions by detecting the desires of an individual as well as capturing the corresponding context values through observations. An inference process based on Hidden Markov Model makes instant definition of individualized services at runtime possible, and significantly, shortens service evolution cycle. We illustrate the possible applications of this framework through a smart home example a imed at supporting independent living of elderly people. © 2009 IEEE.
Engineering Village;2010;An agent-based system to support assurance of security requirements;;Current approaches to evaluating security assurance either focus on the software development stage or at the end product software. However, most often, it is after the deployment or implementation phase that specified security requirements may be violated. This may be due to improper deployment of the security measures, environmental hazards or to the fact that the assumptions under which the security requirements have been specified have become invalid. As such, this paper proposes an approach (supported by a system) which will complement security requirements engineering methodologies by gathering continuous evidence to inform on whether the security requirements elucidated during system development stage have been correctly implemented and as such, they can be relied upon to effectively protect system assets at runtime. We use Secure Tropos methodology to highlight the security assurance case and elicit the features of our security assurance evaluation system. We further depict the security assurance evaluation through an example based on firewalls configurations. © 2010 IEEE.
Engineering Village;2006;Elevating interaction requirements for web service composition;;Web services are increasingly utilized to create integrated applications from existing components However, incompatible interaction expectations between Web service interfaces and/or non-Web service interfaces participating in the overall application can inhibit the integration Frequently, these conflicts are resolved on a case by case basis Advantages can be gained by understanding integration conflict resolution as formal interaction requirements This approach enables evaluation of recurring integration conflicts during requirements analysis (rather than as a testing step), thus providing a more complete resolution that is abstracted from specific runtime interaction instances.
Engineering Village;2014;On requirements representation and reasoning using answer set programming;;We describe an approach to the representation of requirements using answer set programming and how this leads to a vision for the role of artificial intelligence techniques in software engineering with a particular focus on adaptive business systems. We outline how the approach has developed over several years through a combination of commercial software development and artificial intelligence research, resulting in: (i) a metamodel that incorporates the notion of runtime requirements, (ii) a formal language for their representation and its supporting computational model (InstAL), and (iii) a software architecture that enables monitoring of distributed systems. The metamodel is the result of several years experience in the development of business systems for e-tailing, while InstAL and the runtime monitor is on-going research to support the specification, verification and application of normative frameworks in distributed intelligent systems. Our approach derives from the view that in order to build agile systems, the components need to be structured more like software that controls robots, in that it is designed to be relatively resilient in the face of a non-deterministic, dynamic, complex environment about which there is incomplete information. Thus, degrees of autonomy become a strength and an opportunity, but must somehow be constrained by informing these autonomous components what should be done in a certain situation or what system state ought to be achieved through norms as expressions of requirements. Because such a system made up of autonomous components is potentially behaviourally complex and not just complicated, it becomes essential to monitor both whether norms/requirements are being fulfilled and if not why not. Finally, because control over the system can be expressed through requirements in the form of data that can be changed, a route is opened to adjustment and dynamic re-direction of running systems. © 2014 IEEE.
Engineering Village;2011;Monitoring fuzzy temporal requirements for service compositions: Motivations, challenges and experimental results;;Service compositions are an important family of self-adaptive systems, which need to cope with the variability of the environment (e.g., heterogeneous devices, changing context), and react to unexpected events (e.g., changing components) that may take place at runtime. To this aim, it is fundamental to continuously assess requirements while the system is executing and detect partial mismatches or handle uncertainty. Detecting the entity of a violation is very helpful, since it can guide the way applications adapt at runtime. This paper is based on the FLAGS language we already proposed in our previous work to represent requirements as fuzzy temporal formulas and identify partial violations at the temporal level. The paper illustrates the advantages of using the FLAGS language to express the requirements of service compositions, and proposes a technique to monitor them at runtime. The experimental evaluation demonstrates that the monitoring technique is feasible and the overhead introduced in the running system is negligible. © 2011 IEEE.
